Red,White,Population,Marker,Generation,Rep,Red.0,White.0,D.0,Red.3,White.3,D.3,Fitness.3
REL 10948,Ara + 1,Ara + 1,Plus,40000,1,48,41,2000,103,69,2000000000,0.983332677
REL 10948,Ara + 2,Ara + 2,Plus,40000,1,50,50,2000,83,97,2000000000,1.010883033
REL 10948,Ara + 3,Ara + 3,Plus,40000,1,63,38,2000,30,80,2000000000,1.113693311
REL 10948,Ara + 4,Ara + 4,Plus,40000,1,49,41,2000,96,76,2000000000,0.99617846
REL 10948,Ara + 5,Ara + 5,Plus,40000,1,64,63,2000,64,70,2000000000,1.007626248
Ara - 1,REL 11638,Ara - 1,Minus,40000,1,60,58,2000,73,105,2000000000,0.972419898
Ara - 4,REL 11638,Ara - 4,Minus,40000,1,30,39,2000,97,59,2000000000,1.053377738
Ara - 5,REL 11638,Ara - 5,Minus,40000,1,39,59,2000,84,75,2000000000,1.037515986
Ara - 6,REL 11638,Ara - 6,Minus,40000,1,70,50,2000,89,74,2000000000,0.989308436
REL 10948,Ara + 1,Ara + 1,Plus,50000,1,45,35,2000,84,66,2000000000,1.000703089
REL 10948,Ara + 2,Ara + 2,Plus,50000,1,54,33,2000,45,91,2000000000,1.087776492
REL 10948,Ara + 3,Ara + 3,Plus,50000,1,52,20,2000,24,57,2000000000,1.139584736
REL 10948,Ara + 4,Ara + 4,Plus,50000,1,62,44,2000,111,35,2000000000,0.943655878
REL 10948,Ara + 5,Ara + 5,Plus,50000,1,60,55,2000,74,55,2000000000,0.985046911
Ara - 1,REL 11638,Ara - 1,Minus,50000,1,36,55,2000,80,57,2000000000,1.055070177
Ara - 4,REL 11638,Ara - 4,Minus,50000,1,39,96,2000,89,51,2000000000,1.110566533
Ara - 5,REL 11638,Ara - 5,Minus,50000,1,41,68,2000,98,83,2000000000,1.047953622
Ara - 6,REL 11638,Ara - 6,Minus,50000,1,68,56,2000,93,55,2000000000,1.023997861
REL 10948,Ara + 1,Ara + 1,Plus,40000,2,65,62,2000,83,67,2000000000,0.988129763
REL 10948,Ara + 2,Ara + 2,Plus,40000,2,60,69,2000,61,94,2000000000,1.021158049
REL 10948,Ara + 3,Ara + 3,Plus,40000,2,61,46,2000,37,80,2000000000,1.07910607
REL 10948,Ara + 4,Ara + 4,Plus,40000,2,60,75,2000,89,47,2000000000,0.939363525
REL 10948,Ara + 5,Ara + 5,Plus,40000,2,65,59,2000,88,61,2000000000,0.980903503
Ara - 1,REL 11638,Ara - 1,Minus,40000,2,69,65,2000,90,64,2000000000,1.020377335
Ara - 4,REL 11638,Ara - 4,Minus,40000,2,34,62,2000,97,55,2000000000,1.085293257
Ara - 5,REL 11638,Ara - 5,Minus,40000,2,70,73,2000,75,90,2000000000,0.989992246
Ara - 6,REL 11638,Ara - 6,Minus,40000,2,85,69,2000,100,70,2000000000,1.010710866
REL 10948,Ara + 1,Ara + 1,Plus,50000,2,64,67,2000,91,71,2000000000,0.979249025
REL 10948,Ara + 2,Ara + 2,Plus,50000,2,62,66,2000,52,108,2000000000,1.04900189
REL 10948,Ara + 3,Ara + 3,Plus,50000,2,72,31,2000,37,27,2000000000,1.040122236
REL 10948,Ara + 4,Ara + 4,Plus,50000,2,65,41,2000,81,57,2000000000,1.007795715
REL 10948,Ara + 5,Ara + 5,Plus,50000,2,67,58,2000,71,43,2000000000,0.974250895
Ara - 1,REL 11638,Ara - 1,Minus,50000,2,46,93,2000,52,52,2000000000,1.053192524
Ara - 4,REL 11638,Ara - 4,Minus,50000,2,44,73,2000,81,38,2000000000,1.095963505
Ara - 5,REL 11638,Ara - 5,Minus,50000,2,53,75,2000,60,62,2000000000,1.023075432
Ara - 6,REL 11638,Ara - 6,Minus,50000,2,51,81,2000,94,59,2000000000,1.068776091
REL 10948,Ara + 1,Ara + 1,Plus,40000,3,62,59,2000,117,66,2000000000,0.963812987
REL 10948,Ara + 2,Ara + 2,Plus,40000,3,77,93,2000,87,78,2000000000,0.978619484
REL 10948,Ara + 3,Ara + 3,Plus,40000,3,74,59,2000,25,69,2000000000,1.097543361
REL 10948,Ara + 4,Ara + 4,Plus,40000,3,66,46,2000,93,64,2000000000,0.999102793
REL 10948,Ara + 5,Ara + 5,Plus,40000,3,62,72,2000,107,69,2000000000,0.95903867
Ara - 1,REL 11638,Ara - 1,Minus,40000,3,69,72,2000,76,65,2000000000,1.014504654
Ara - 4,REL 11638,Ara - 4,Minus,40000,3,59,76,2000,93,44,2000000000,1.075484834
Ara - 5,REL 11638,Ara - 5,Minus,40000,3,69,70,2000,74,81,2000000000,0.99455678
Ara - 6,REL 11638,Ara - 6,Minus,40000,3,81,83,2000,102,74,2000000000,1.025202967
REL 10948,Ara + 1,Ara + 1,Plus,50000,3,78,63,2000,84,54,2000000000,0.98356624
REL 10948,Ara + 2,Ara + 2,Plus,50000,3,51,53,2000,40,81,2000000000,1.049150875
REL 10948,Ara + 3,Ara + 3,Plus,50000,3,73,29,2000,22,53,2000000000,1.142866178
REL 10948,Ara + 4,Ara + 4,Plus,50000,3,66,38,2000,84,60,2000000000,1.015337651
REL 10948,Ara + 5,Ara + 5,Plus,50000,3,79,75,2000,76,60,2000000000,0.986613067
Ara - 1,REL 11638,Ara - 1,Minus,50000,3,38,98,2000,72,46,2000000000,1.106852464
Ara - 4,REL 11638,Ara - 4,Minus,50000,3,47,63,2000,83,44,2000000000,1.068935725
Ara - 5,REL 11638,Ara - 5,Minus,50000,3,42,74,2000,63,50,2000000000,1.059411411
Ara - 6,REL 11638,Ara - 6,Minus,50000,3,67,68,2000,98,68,2000000000,1.027525212
REL 10948,Ara + 1,Ara + 1,Plus,40000,4,67,69,2000,124,53,2000000000,0.939061917
REL 10948,Ara + 2,Ara + 2,Plus,40000,4,76,78,2000,76,87,2000000000,1.007904108
REL 10948,Ara + 3,Ara + 3,Plus,40000,4,92,40,2000,38,68,2000000000,1.109411256
REL 10948,Ara + 4,Ara + 4,Plus,40000,4,100,72,2000,73,55,2000000000,1.00336112
REL 10948,Ara + 5,Ara + 5,Plus,40000,4,76,68,2000,96,71,2000000000,0.986444517
Ara - 1,REL 11638,Ara - 1,Minus,40000,4,76,85,2000,57,101,2000000000,0.967103803
Ara - 4,REL 11638,Ara - 4,Minus,40000,4,77,79,2000,76,51,2000000000,1.031735213
Ara - 5,REL 11638,Ara - 5,Minus,40000,4,86,73,2000,67,89,2000000000,0.968043272
Ara - 6,REL 11638,Ara - 6,Minus,40000,4,101,71,2000,83,77,2000000000,0.980037942
REL 10948,Ara + 1,Ara + 1,Plus,50000,4,91,55,2000,60,62,2000000000,1.040026593
REL 10948,Ara + 2,Ara + 2,Plus,50000,4,79,66,2000,68,57,2000000000,1.000244166
REL 10948,Ara + 3,Ara + 3,Plus,50000,4,81,29,2000,24,46,2000000000,1.13316339
REL 10948,Ara + 4,Ara + 4,Plus,50000,4,59,93,2000,87,51,2000000000,0.930360968
REL 10948,Ara + 5,Ara + 5,Plus,50000,4,77,50,2000,61,84,2000000000,1.055344817
Ara - 1,REL 11638,Ara - 1,Minus,50000,4,54,70,2000,38,90,2000000000,0.957153635
Ara - 4,REL 11638,Ara - 4,Minus,50000,4,63,75,2000,76,53,2000000000,1.039707628
Ara - 5,REL 11638,Ara - 5,Minus,50000,4,58,83,2000,62,68,2000000000,1.019537368
Ara - 6,REL 11638,Ara - 6,Minus,50000,4,66,85,2000,75,59,2000000000,1.036649267
REL 10948,Ara + 1,Ara + 1,Plus,40000,5,76,57,2000,110,51,2000000000,0.966093484
REL 10948,Ara + 2,Ara + 2,Plus,40000,5,78,95,2000,73,44,2000000000,0.948838133
REL 10948,Ara + 3,Ara + 3,Plus,40000,5,88,47,2000,37,70,2000000000,1.097672221
REL 10948,Ara + 4,Ara + 4,Plus,40000,5,87,70,2000,85,69,2000000000,1.000642979
REL 10948,Ara + 5,Ara + 5,Plus,40000,5,74,76,2000,81,62,2000000000,0.978859108
Ara - 1,REL 11638,Ara - 1,Minus,40000,5,76,84,2000,38,114,2000000000,0.929287129
Ara - 4,REL 11638,Ara - 4,Minus,40000,5,67,68,2000,81,44,2000000000,1.046716414
Ara - 5,REL 11638,Ara - 5,Minus,40000,5,83,87,2000,55,65,2000000000,0.991127872
Ara - 6,REL 11638,Ara - 6,Minus,40000,5,96,98,2000,88,90,2000000000,0.999865002
REL 10948,Ara + 1,Ara + 1,Plus,50000,5,96,54,2000,63,72,2000000000,1.052925176
REL 10948,Ara + 2,Ara + 2,Plus,50000,5,59,59,2000,100,48,2000000000,0.948827871
REL 10948,Ara + 3,Ara + 3,Plus,50000,5,79,27,2000,22,33,2000000000,1.117975886
REL 10948,Ara + 4,Ara + 4,Plus,50000,5,82,68,2000,74,37,2000000000,0.963105014
REL 10948,Ara + 5,Ara + 5,Plus,50000,5,69,70,2000,52,59,2000000000,1.00826926
Ara - 1,REL 11638,Ara - 1,Minus,50000,5,108,80,2000,58,69,2000000000,0.965336385
Ara - 4,REL 11638,Ara - 4,Minus,50000,5,57,83,2000,86,37,2000000000,1.093731346
Ara - 5,REL 11638,Ara - 5,Minus,50000,5,36,65,2000,53,68,2000000000,1.024649133
Ara - 6,REL 11638,Ara - 6,Minus,50000,5,61,73.5,2000,73,72,2000000000,1.014512972
REL 10948,Ara + 1,Ara + 1,Plus,40000,6,83,79,2000,82,44,2000000000,0.958478541
REL 10948,Ara + 2,Ara + 2,Plus,40000,6,79,81,2000,85,61,2000000000,0.97431161
REL 10948,Ara + 3,Ara + 3,Plus,40000,6,87,53,2000,48,90,2000000000,1.085034534
REL 10948,Ara + 4,Ara + 4,Plus,40000,6,73,67,2000,96,50,2000000000,0.959788324
REL 10948,Ara + 5,Ara + 5,Plus,40000,6,63,67,2000,84,51,2000000000,0.960253747
Ara - 1,REL 11638,Ara - 1,Minus,40000,6,97,72,2000,61,52,2000000000,0.989739525
Ara - 4,REL 11638,Ara - 4,Minus,40000,6,61,90,2000,79,52,2000000000,1.060838419
Ara - 5,REL 11638,Ara - 5,Minus,40000,6,77,77,2000,79,79,2000000000,1
Ara - 6,REL 11638,Ara - 6,Minus,40000,6,81,74,2000,92,70,2000000000,1.013292882
REL 10948,Ara + 1,Ara + 1,Plus,50000,6,50,47,2000,86,63,2000000000,0.982634069
REL 10948,Ara + 2,Ara + 2,Plus,50000,6,71,46,2000,57,84,2000000000,1.060445068
REL 10948,Ara + 3,Ara + 3,Plus,50000,6,84,25,2000,39,48,2000000000,1.108794647
REL 10948,Ara + 4,Ara + 4,Plus,50000,6,103,47,2000,118,30,2000000000,0.958075671
REL 10948,Ara + 5,Ara + 5,Plus,50000,6,80,61,2000,66,63,2000000000,1.01648906
Ara - 1,REL 11638,Ara - 1,Minus,50000,6,29,114,2000,59,38,2000000000,1.14224018
Ara - 4,REL 11638,Ara - 4,Minus,50000,6,61,83,2000,70,30,2000000000,1.090270088
Ara - 5,REL 11638,Ara - 5,Minus,50000,6,46,85,2000,45,47,2000000000,1.04314637
Ara - 6,REL 11638,Ara - 6,Minus,50000,6,75,95,2000,97,72,2000000000,1.039475684
