Generation,Red.Pop,White.Pop,Population,Rep,Red.0,White.0,D.0,Red.1,White.1,D.1,Fitness,Complete,Mutator.Ever
0,Ara - 1,607,Ara - 1,1,171,135,2000,124,149,200000,0.910699904,Yes,Yes
500,Ara - 1,607,Ara - 1,1,129,149,2000,116,85,200000,1.11253385,Yes,Yes
1000,Ara - 1,607,Ara - 1,1,141,135,2000,175,169,200000,0.99821983,Yes,Yes
1500,Ara - 1,607,Ara - 1,1,164,183,2000,171,87,200000,1.203381179,Yes,Yes
2000,Ara - 1,607,Ara - 1,1,98,162,2000,190,105,200000,1.262659378,Yes,Yes
2500,Ara - 1,607,Ara - 1,1,130,179,2000,154,60,200000,1.359457018,Yes,Yes
3000,Ara - 1,607,Ara - 1,1,124,166,2000,144,84,200000,1.211697985,Yes,Yes
3500,Ara - 1,607,Ara - 1,1,92,145,2000,185,97,200000,1.261849015,Yes,Yes
4000,Ara - 1,607,Ara - 1,1,113,145,2000,159,86,200000,1.21159652,Yes,Yes
4500,Ara - 1,607,Ara - 1,1,91,152,2000,137,56,200000,1.390293936,Yes,Yes
5000,Ara - 1,607,Ara - 1,1,113,182,2000,159,70,200000,1.355383317,Yes,Yes
6000,Ara - 1,607,Ara - 1,1,106,184,2000,179,64,200000,1.445180916,Yes,Yes
7000,Ara - 1,607,Ara - 1,1,111,164,2000,158,81,200000,1.271422864,Yes,Yes
8000,Ara - 1,607,Ara - 1,1,98,150,2000,148,43,200000,1.49517616,Yes,Yes
9000,Ara - 1,607,Ara - 1,1,120,204,2000,159,70,200000,1.382129783,Yes,Yes
10000,Ara - 1,607,Ara - 1,1,115,174,2000,149,64,200000,1.349289071,Yes,Yes
11000,Ara - 1,607,Ara - 1,1,113,166,2000,142,49,200000,1.427948471,Yes,Yes
12000,Ara - 1,607,Ara - 1,1,90,159,2000,169,55,200000,1.47738471,Yes,Yes
13000,Ara - 1,607,Ara - 1,1,104,160,2000,170,55,200000,1.440798106,Yes,Yes
14000,Ara - 1,607,Ara - 1,1,90,152,2000,165,75,200000,1.336651198,Yes,Yes
15000,Ara - 1,607,Ara - 1,1,101,153,2000,185,53,200000,1.46977996,Yes,Yes
16000,Ara - 1,607,Ara - 1,1,87,156,2000,148,50,200000,1.481388763,Yes,Yes
17000,Ara - 1,607,Ara - 1,1,81,148,2000,135,69,200000,1.33157471,Yes,Yes
18000,Ara - 1,607,Ara - 1,1,101,192,2000,150,48,200000,1.553550132,Yes,Yes
19000,Ara - 1,607,Ara - 1,1,81,168,2000,146,54,200000,1.496842327,Yes,Yes
20000,Ara - 1,607,Ara - 1,1,86,149,2000,122,47,200000,1.435615946,Yes,Yes
22000,Ara - 1,607,Ara - 1,1,93,176,2000,166,47,200000,1.578332058,Yes,Yes
24000,Ara - 1,607,Ara - 1,1,110,167,2000,159,28,200000,1.764073117,Yes,Yes
26000,Ara - 1,607,Ara - 1,1,101,188,2000,148,44,200000,1.581792539,Yes,Yes
28000,Ara - 1,607,Ara - 1,1,101,220,2000,122,31,200000,1.812140099,Yes,Yes
