StrainID,Population,Timepoint,Flagged?,Accession
REL768A,p1,0.5,,SRR2584408
REL768B,p1,0.5,,SRR2584409
REL958A,p1,1,,SRR2584410
REL958B,p1,1,,SRR2584411
REL1062A,p1,1.5,,SRR2584438
REL1062B,p1,1.5,,SRR2584462
REL1158A,p1,2,,SRR2584463
REL1158C,p1,2,,SRR2584464
REL2173A,p1,5,,SRR2584466
REL2173B,p1,5,,SRR2584467
REL4530A,p1,10,,SRR2584470
REL4530B,p1,10,,SRR2584490
REL7183A,p1,15,,SRR2584518
REL7183B,p1,15,,SRR2584508
REL9282A,p1,20,,SRR2584519
REL9282B,p1,20,,SRR2584520
REL10450,p1,30,,SRR2584521
REL10451,p1,30,,SRR2584522
REL11008,p1,40,,SRR2086043
REL11009,p1,40,,SRR2086070
REL11392,p1,50,,SRR2584524
REL11393,p1,50,,SRR2584534
REL769A,p2,0.5,,SRR2584549
REL769B,p2,0.5,,SRR2584550
REL959A,p2,1,,SRR2584583
REL959B,p2,1,,SRR2584607
REL1063A,p2,1.5,,SRR2584608
REL1063B,p2,1.5,,SRR2584609
REL1159A,p2,2,,SRR2584610
REL1159B,p2,2,,SRR2584611
REL2174A,p2,5,,SRR2584613
REL2174B,p2,5,,SRR2584614
REL4531A,p2,10,,SRR2584637
REL4531B,p2,10,,SRR2584654
REL7184A,p2,15,,SRR2584655
REL7184B,p2,15,,SRR2584659
REL8601A,p2,20,,SRR2584660
REL8601B,p2,20,,SRR2584661
REL10407,p2,30,,SRR2584662
REL10408,p2,30,,SRR2584663
REL10950,p2,40,,SRR2086096
REL10951,p2,40,,SRR2086097
REL11342,p2,50,,SRR2584665
REL11343,p2,50,,SRR2588645
REL770A,p3,0.5,,SRR2588658
REL770B,p3,0.5,,SRR2584668
REL960A,p3,1,,SRR2584669
REL960B,p3,1,,SRR2591034
REL1064A,p3,1.5,,SRR2584671
REL1064B,p3,1.5,,SRR2591035
REL1160A,p3,2,,SRR2584673
REL1160B,p3,2,,SRR2588711
REL2175A,p3,5,,SRR2584677
REL2175B,p3,5,,SRR2584678
REL4532A,p3,10,,SRR2591036
