0, 500, 1000, 1500, 2000, 2500, 3000, 3500, 4000, 4500, 5000, 5500, 6000, 6500, 7000, 7500, 8000, 8500, 9000, 9500, 10000, 10500, 11000, 11500, 12000, 12500, 13000, 13500, 14000, 14500, 15000, 15500, 16000, 16500, 17000, 17500, 18000, 18500, 19000, 19500, 20000, 20500, 21000, 21500, 22000, 22500, 23000, 23500, 24000, 24500, 25000, 25500, 26000, 26500, 27000, 27500, 28000, 28500, 29000, 29500, 30000, 30500, 31000, 31500, 32000, 32500, 33000, 33500, 34000, 34500, 35000, 35500, 36000, 36500, 37000, 37500, 38000, 38500, 39000, 39500, 40000, 40500, 41000, 41500, 42000, 42500, 43000, 43500, 44000, 44500, 45000, 45500, 46000, 46500, 47000, 47500, 48000, 48500, 49000, 49500, 50000, 50500, 51000, 51500, 52000, 52500, 53000, 53500, 54000, 54500, 55000, 55500, 56000, 56500, 57000, 57500, 58000, 58500, 59000, 59500, 60000, 60500
3255.0, 3253.0, 3251.0, 3242.0, 3239.0, 3237.0, 3234.0, 3232.0, 3232.0, 3231.0, 3229.0, 3226.0, 3220.0, 3219.0, 3214.0, 3212.0, 3208.0, 3201.0, 3196.0, 3191.0, 3189.0, 3189.0, 3183.0, 3176.0, 3176.0, 3174.0, 3170.0, 3169.0, 3167.0, 3164.0, 3159.0, 3157.0, 3155.0, 3154.0, 3153.0, 3151.0, 3149.0, 3139.0, 3139.0, 3133.0, 3133.0, 3131.0, 3130.0, 3121.0, 3120.0, 3120.0, 3118.0, 3112.0, 3109.0, 3105.0, 3101.0, 3097.0, 3094.0, 3092.0, 3086.0, 3084.0, 3081.0, 3074.0, 3074.0, 3071.0, 3069.0, 3064.0, 3062.0, 3061.0, 3052.0, 3047.0, 3044.0, 3041.0, 3037.0, 3025.0, 2939.0, 2860.0, 2824.0, 2790.0, 2749.0, 2684.0, 2645.0, 2615.0, 2526.0, 2499.0, 2471.0, 2399.0, 2324.0, 2248.0, 2231.0, 2191.0, 2159.0, 1909.0, 1819.0, 1738.0, 1662.0, 1642.0, 1579.0, 1579.0, 1533.0, 1436.0, 1409.0, 1307.0, 1199.0, 1143.0, 1040.0, 1012.0, 925.0, 879.0, 853.0, 816.0, 691.0, 554.0, 458.0, 436.0, 416.0, 400.0, 363.0, 332.0, 216.0, 168.0, 99.0, 26.0, 4.0, 3.0, 7.0, 0.0
0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 4.0, 4.0, 4.0, 4.0, 3.0, 6.0, 9.0, 9.0, 10.0, 10.0, 14.0, 15.0, 23.0, 24.0, 24.0, 24.0, 24.0, 26.0, 27.0, 29.0, 29.0, 31.0, 35.0, 37.0, 40.0, 51.0, 56.0, 61.0, 61.0, 60.0, 60.0, 61.0, 62.0, 65.0, 65.0, 66.0, 66.0, 67.0, 68.0, 68.0, 69.0, 70.0, 70.0, 70.0, 70.0, 70.0, 69.0, 69.0, 72.0, 71.0, 71.0, 71.0, 74.0, 74.0, 74.0, 74.0, 74.0, 76.0, 76.0, 83.0, 104.0, 113.0, 113.0, 112.0, 112.0, 120.0, 124.0, 151.0, 181.0, 206.0, 222.0, 225.0, 248.0, 264.0, 304.0, 355.0, 361.0, 404.0, 425.0, 453.0, 552.0, 604.0, 615.0, 817.0, 890.0, 976.0, 1002.0, 1002.0, 1004.0, 1013.0, 1018.0, 1021.0, 1039.0, 1078.0, 1107.0, 1226.0, 1301.0, 1311.0, 1313.0, 1316.0, 1323.0, 1345.0, 1410.0, 1615.0, 1692.0, 1718.0, 1754.0, 1766.0, 1760.0, 1788.0, 1859.0, 1864.0, 1886.0, 1890.0, 1995.0
0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 8.0, 10.0, 10.0, 10.0, 12.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 17.0, 17.0, 17.0, 17.0, 17.0, 22.0, 24.0, 25.0, 26.0, 26.0, 26.0, 27.0, 27.0, 27.0, 27.0, 27.0, 27.0, 27.0, 27.0, 27.0, 27.0, 27.0, 27.0, 27.0, 27.0, 27.0, 28.0, 28.0, 29.0, 29.0, 29.0, 29.0, 29.0, 29.0, 29.0, 29.0, 29.0, 29.0, 30.0, 31.0, 42.0, 43.0, 43.0, 43.0, 43.0, 44.0, 44.0, 44.0, 44.0, 44.0, 45.0, 45.0, 47.0, 47.0, 48.0, 48.0, 48.0, 50.0, 50.0, 54.0, 55.0, 215.0, 222.0, 283.0, 356.0, 452.0, 512.0, 512.0, 512.0, 513.0, 513.0, 513.0, 514.0, 514.0, 517.0, 530.0, 535.0, 536.0, 536.0, 537.0, 546.0, 555.0, 652.0, 719.0, 745.0, 746.0, 746.0, 746.0, 746.0, 746.0, 746.0, 746.0, 747.0, 747.0, 796.0
0.0, 2.0, 4.0, 13.0, 16.0, 18.0, 19.0, 17.0, 17.0, 18.0, 20.0, 24.0, 21.0, 17.0, 22.0, 23.0, 25.0, 24.0, 28.0, 25.0, 26.0, 26.0, 32.0, 39.0, 37.0, 38.0, 40.0, 40.0, 40.0, 39.0, 42.0, 41.0, 27.0, 21.0, 16.0, 17.0, 20.0, 30.0, 28.0, 33.0, 30.0, 32.0, 32.0, 41.0, 41.0, 40.0, 42.0, 47.0, 49.0, 53.0, 57.0, 61.0, 64.0, 66.0, 72.0, 70.0, 74.0, 81.0, 81.0, 81.0, 83.0, 88.0, 90.0, 91.0, 98.0, 102.0, 97.0, 68.0, 62.0, 74.0, 161.0, 240.0, 267.0, 297.0, 311.0, 346.0, 360.0, 373.0, 459.0, 461.0, 473.0, 504.0, 528.0, 598.0, 570.0, 589.0, 589.0, 739.0, 617.0, 680.0, 493.0, 367.0, 248.0, 162.0, 208.0, 303.0, 320.0, 417.0, 522.0, 559.0, 623.0, 619.0, 574.0, 540.0, 555.0, 590.0, 711.0, 832.0, 897.0, 757.0, 505.0, 418.0, 428.0, 423.0, 527.0, 581.0, 622.0, 624.0, 641.0, 619.0, 611.0, 464.0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 3, 3, 3, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 3, 3, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
