OperonID	GI	Synonym	Start	End	Strand	Length	COG_number	Product
1183253	254160127	ECB_00004	3733	5019	+	428	COG0498E	threonine synthase
1183253	254160126	ECB_00003	2800	3732	+	310	COG0083E	homoserine kinase
1183253	254160125	ECB_00002	336	2798	+	820	COG0527E	bifunctional aspartokinase I/homoserine dehydrogenase I
1183253	254160124	ECB_00001	190	255	+	21	-	thr operon leader peptide
1183254	254160130	ECB_00007	6527	7957	-	476	COG1115E	putative transporter
1183254	254160129	ECB_00006	5681	6457	-	258	COG3022S	hypothetical protein
1183255	254160132	ECB_00009	9304	9891	+	195	COG0521H	molybdenum cofactor biosynthesis protein MogA
1183255	254160131	ECB_00008	8236	9189	+	317	COG0176G	transaldolase B
1183256	254160136	ECB_00015	14166	15296	+	376	COG0484O	chaperone protein DnaJ
1183256	254160135	ECB_00014	12161	14077	+	638	COG0443O	molecular chaperone DnaK
1183257	254160138	ECB_04280	16749	16901	-	50	-	small toxic membrane polypeptide
1183257	254160139	ECB_00017	16749	16958	-	69	-	regulatory protein for HokC, overlaps CDS of hokC
1183258	254160141	ECB_00019	18714	19619	+	301	COG0583K	transcriptional activator NhaR
1183258	254160140	ECB_00018	17488	18654	+	388	COG3004P	pH-dependent sodium/proton antiporter
1183259	254160143	ECB_00021	20630	21775	-	381	COG3188NU	putative usher protein
1183259	254160142	ECB_00020	19658	20617	-	319	-	hypothetical protein
1183260	254160146	ECB_00024	23540	24043	+	167	COG1662L	IS1 protein InsB
1183260	254160145	ECB_00023	23346	23621	+	91	COG3677L	IS1 protein InsA
1183261	254160149	ECB_00027	24887	25150	-	87	COG0268J	30S ribosomal protein S20
1183261	254160148	ECB_00026	24701	24865	-	54	-	hypothetical protein
1183262	254160153	ECB_00031	29279	29773	+	164	COG0597MU	lipoprotein signal peptidase
1183262	254160152	ECB_00030	26463	29279	+	938	COG0060J	isoleucyl-tRNA synthetase
1183262	254160151	ECB_00029	25479	26420	+	313	COG0196H	bifunctional riboflavin kinase/FMN adenylyltransferase
1183262	254160150	ECB_00028	25253	25471	+	72	-	hypothetical protein
1183263	254160156	ECB_00034	31365	32279	+	304	COG1957F	ribonucleoside hydrolase RihC
1183263	254160155	ECB_00033	30349	31299	+	316	COG0761IM	4-hydroxy-3-methylbut-2-enyl diphosphate reductase
1183263	254160154	ECB_00032	29898	30347	+	149	COG1047O	FKBP-type peptidyl-prolyl cis-trans isomerase (rotamase)
1183264	254160159	ECB_00037	34888	38109	+	1073	COG0458EF	carbamoyl phosphate synthase large subunit
1183264	254160158	ECB_00036	33722	34870	+	382	COG0505EF	carbamoyl phosphate synthase small subunit
1183265	254160163	ECB_00041	40465	42033	-	522	COG0318IQ	putative crotonobetaine/carnitine-CoA ligase
1183265	254160162	ECB_00040	39571	40464	-	297	COG1024I	carnitinyl-CoA dehydratase
1183265	254160161	ECB_00039	38975	39565	-	196	COG0663R	carnitine operon protein CaiE
1183266	254160165	ECB_00044	44610	46124	-	504	COG1292M	L-carnitine/gamma-butyrobetaine antiporter
1183266	254160164	ECB_00043	43437	44579	-	380	COG1960I	crotonobetainyl-CoA dehydrogenase
1183267	254160170	ECB_00049	50002	51333	+	443	COG2271G	putative transporter
1183267	254160169	ECB_00048	49658	49945	+	95	COG2440C	putative 4Fe-4S ferredoxin-type protein
1183267	254160168	ECB_00047	48375	49661	+	428	COG0644C	putative oxidoreductase FixC
